organizationLabel,positionLabel,officeholderLabel,prediction,confidence,answer,eval
African Development Bank,Akinwumi Adesina,Akinwumi Adesina,"Answer: Akinwumi Adesina, Confidence: High.",High,Akinwumi Adesina,True
African Paralympic Committee,President of the African Paralympic Committee,Leonel da Rocha Pinto,I don't have access to a search engine to provide information on the current leader of the African Paralympic Committee.,,,False
Afro-Asian People's Solidarity Organization,Anwar Sadat,Anwar Sadat,I couldn't find any information on the current leader of the Afro-Asian People's Solidarity Organization.,,,False
Aga Khan Development Network,Ismaili imam,Ismaili imam,"Answer: His Highness the Aga Khan IV, Confidence: high.",high,His Highness the Aga Khan IV,True
All European Academies,Antonio Loprieno,Antonio Loprieno,"Answer: Antonio Loprieno, Confidence: medium",medium,Antonio Loprieno,
Alliance of Passenger Rail New Entrants in Europe,Erich Forster,Erich Forster,"I couldn't find any information on the current leader of the Alliance of Passenger Rail New Entrants (Allrail) in Europe. Allrail appears to be a trade association that represents new entrants and private operators in the European passenger rail market, but I was unable to determine its current leadership.

Answer: Unknown, Confidence: Low",Low,Unknown,False
Alliance of Small Island States,Ahmed Sareer,Ahmed Sareer,"I don't have access to real-time information and updates on specific leadership roles. However, I can suggest that you check the official website or recent news articles related to the Alliance of Small Island States (AOSIS) for the most up-to-date information on its current leader.

Answer: Not Available
Confidence: Low",Low,Not Available,
American Association for the Advancement of Science,Eloise E. Clark,Eloise E. Clark,I don't have access to a search engine to provide information on the current leader of the American Association for the Advancement of Science.,,,False
Andean Community,Secretary-General of the Andean Community,Guillermo Fernández de Soto,I do not have access to a search engine to provide information on the current leader of the Andean Community.,,,False
Anti-Bolshevik Bloc of Nations,Yaroslav Stetsko,Yaroslav Stetsko,"Answer: Yaroslav Hrytsak, Confidence: medium.",medium,Yaroslav Hrytsak,
Arab League,Secretary General of the Arab League,Secretary General of the Arab League,"Answer: Ahmed Aboul Gheit, Confidence: High.",High,Ahmed Aboul Gheit,True
Arab Union of Judges,Ahmad al-Ashqar,Ahmad al-Ashqar,I do not have information on who the current leader of the Arab Union of Judges is.,,,
Asian Athletics Association,Dahlan Jumaan al-Hamad,Dahlan Jumaan al-Hamad,"Answer: Dahlan Al-Hamad, Confidence: High.",High,Dahlan Al-Hamad,True
Asian Buddhist Conference for Peace,Gabji Demberel Choijamts,Gabji Demberel Choijamts,"Answer: I couldn't find any information on the current leader of the Asian Buddhist Conference for Peace. The organization does not have a publicly disclosed leadership structure or a clear indication of its current status., Confidence: low",low,I couldn't find any information on the current leader of the Asian Buddhist Conference for Peace. The organization does not have a publicly disclosed leadership structure or a clear indication of its current status.,
Asian Development Bank,Masato Kanda,Masato Kanda,Masatsugu Asakawa,,,False
Asian Football Confederation,Salman Bin Ibrahim Al-Khalifa,Salman Bin Ibrahim Al-Khalifa,"Answer: Salman Bin Ibrahim Al-Khalifa, Confidence: high.",high,Salman Bin Ibrahim Al-Khalifa,True
Asian Hockey Federation,Abdullah of Pahang,Abdullah of Pahang,"I don't have access to real-time information. However, as of my last update in 2023, Alain Chu Chee Pong and Tayyab Ikram were serving as co-presidents of the Asian Hockey Federation (AHF). Please note that leadership positions can change, so for the most accurate and up-to-date information, I recommend checking directly with official sources or the AHF's website.

Answer: Alain Chu Chee Pong and Tayyab Ikram, Confidence: low",low,Alain Chu Chee Pong and Tayyab Ikram,False
Asian Infrastructure Investment Bank,Jin Liqun,Jin Liqun,"Answer: Jin Liqun, Confidence: high.",high,Jin Liqun,True
Asian Parliamentary Assembly,Mustafa Şentop,Mustafa Şentop,"Answer: Gennady Makhillo ( Russia), Confidence: high.",high,Gennady Makhillo ( Russia),
Asian Shooting Confederation,Salman Sabah Al-Salem Al-Homoud Al-Sabah,Salman Sabah Al-Salem Al-Homoud Al-Sabah,"Answer: Sheikh Salman bin Ibrahim Al Khalifa, Confidence: high.",high,Sheikh Salman bin Ibrahim Al Khalifa,False
Assembly of European Regions,Albert Castellanos Maduell,Albert Castellanos Maduell,"Answer: Not available, Confidence: low.",low,Not available,False
Association des bibliothécaires du Québec – Quebec Library Association (ABQLA),human,human,I don't have information on the current leader of Association des bibliothécaires du Québec - Quebec Library Association (ABQLA).,,,
Association of Episcopal Conferences of Central Africa,Marcel Madila Basanguka,Marcel Madila Basanguka,"Answer: Not Available, Confidence: Low",Low,Not Available,False
Badminton Confederation of Africa,Michel Bau,Michel Bau,"Answer: Not available, Confidence: Low.",Low,Not available,False
Badminton Europe,Sven Serré,Sven Serré,"Answer: Peter Tarcala, Confidence: High",High,Peter Tarcala,False
Badminton World Federation,Lu Shengrong,Lu Shengrong,"Answer: Poul-Erik Høyer, Confidence: high.",high,Poul-Erik Høyer,False
Barroso Commission,José Manuel Durão Barroso,José Manuel Durão Barroso,"Answer: José Manuel Barroso, Confidence: High.",High,José Manuel Barroso,
Blue Shield International,Peter Stone,Peter Stone,"I couldn't find any information about a well-known organization named ""Blue Shield International."" However, there is an international non-governmental organization called The Blue Shield that works to protect cultural heritage from destruction in armed conflict. 

If you're referring to this or another similar organization, I apologize, but I don't have enough information to determine its current leader.

If you are looking for the leadership of a health insurance provider named Blue Shield International, please note that there are several regional non-profit health plans in the United States known as Blue Cross and Blue Shield. These organizations do not have an international presence and typically operate independently within their respective regions.

In either case, I cannot provide a specific answer to your question without more information about which organization you're referring to.

Answer: Unknown, Confidence: low",low,Unknown,False
Boeotian confederation,Boeotarch,Boeotarch,"Answer: Not available, Confidence: Low.",Low,Not available,
Bureau of the European Parliament,President of the European Parliament,Roberta Metsola,I don't have access to a search engine to provide information on the current leader of the Bureau of the European Parliament.,,,False
CONCACAF,Victor Montagliani,Victor Montagliani,"Victor Montagliani, Confidence: High",High,,False
Caribbean Football Union,Randolph Harris,Randolph Harris,"I couldn't find any information about a ""Caribbean Football Union"". However, I found that there is a ""Caribbean Football Union"" which is now known as the Caribbean Football Union (CFU). 

The President of CFU is Randolph Harris.

Answer: Randolph Harris 
Confidence: medium",medium,Randolph Harris,False
Caritas Europa,Erny Gillen,Erny Gillen,I don't have access to a search engine to look up information about the current leader of Caritas Europa.,,,False
Caritas Internationalis,Carl Vath,Carl Vath,"Answer: Aloysius John, Confidence: high.",high,Aloysius John,False
Central American Football Union,Pedro Chaluja,Pedro Chaluja,"Answer: Rafael Salguero, Confidence: high.",high,Rafael Salguero,False
Club of Rome,Mamphela Ramphele,Mamphela Ramphele,"Answer: Sandrine Dixson-Declève, Confidence: high.",high,Sandrine Dixson-Declève,False
Collective Security Treaty Organization,Alexander Lukashenko,Alexander Lukashenko,"Answer: Nikolai Bordyuzha, Confidence: Medium.",Medium,Nikolai Bordyuzha,False
College of Cardinals,Dean of the College of Cardinals,Giovanni Battista Re,"I don't have access to real-time information. However, I can suggest that the Dean of the College of Cardinals typically serves as its leader. As of my last update in 2021, Giovanni Battista Re was the Dean of the College of Cardinals. Please note that this information may not be up-to-date.

Answer: Giovanni Battista Re, Confidence: low",low,Giovanni Battista Re,True
Comité Maritime International,Ann Fenech,Ann Fenech,"I don't have access to real-time data and specific information about the current leadership of organizations such as the Comité Maritime International. My training data only goes up until 2023, and I may not have the most recent updates on leadership positions.

However, as of my knowledge cutoff in 2023, I couldn't find any specific information on who leads the Comité Maritime International. For the most accurate and up-to-date information, I recommend checking the official website of the Comité Maritime International or contacting them directly.

Answer: Not Available, Confidence: Low",Low,Not Available,False
Commission on Legal Empowerment of the Poor,Hernando de Soto,Hernando de Soto,"Answer: Not available as of my knowledge cutoff date (01 March 2023), Confidence: medium",medium,Not available as of my knowledge cutoff date (01 March 2023),
Committee on Data for Science and Technology,Mercè Crosas,Mercè Crosas,"I don't have access to real-time information or updates after my last training cut-off date. However, I can suggest some possible sources where you may be able to find the most current information about the leadership of the Committee on Data for Science and Technology (CODATA). 

You might want to check the official CODATA website or contact them directly for the most accurate and up-to-date information regarding their current leadership.

Answer: Not Available, Confidence: low",low,Not Available,False
Commonwealth of Nations,Head of the Commonwealth,Charles III,"Answer: King Charles III, Confidence: High.",High,King Charles III,True
Community of Portuguese Language Countries,Zacarias da Costa,Zacarias da Costa,"Answer: Luiz Inácio Lula da Silva, Confidence: high.",high,Luiz Inácio Lula da Silva,
Community of the Beatitudes,Anna-Katharina Pollmeyer,Anna-Katharina Pollmeyer,"I'm not able to provide real-time information on leadership positions for specific organizations unless they are widely reported and recognized in available sources up to my last update. The Community of the Beatitudes might have undergone changes that I am not aware of, given the limitations of my training data. If you're looking for the most current leader, I recommend checking the organization's official communication channels or recent news updates.

Answer: Not Available, Confidence: Low",Low,Not Available,
Confederación Nacional del Trabajo,Secretary General of the Confederación Nacional del Trabajo,Secretary General of the Confederación Nacional del Trabajo,I do not have access to a search engine to provide information on the current leader of Confederación Nacional del Trabajo.,,,
Confederation of African Athletics,Hamad Kalkaba Malboum,Hamad Kalkaba Malboum,"Answer: Kalkaba Malboum, Confidence: high.",high,Kalkaba Malboum,True
Confederation of African Football,Patrice Motsepe,Patrice Motsepe,"Answer: Patrice Motsepe, Confidence: High.",High,Patrice Motsepe,True
Confederation of Independent Football Associations,Per-Anders Blind,Per-Anders Blind,"Answer: Per Andersen, Confidence: high.",high,Per Andersen,
Confederation of Open Access Repositories,Martha Whitehead,Martha Whitehead,I'm not aware of the current leader of the Confederation of Open Access Repositories.,,,
Confederation of Sahel States,Assimi Goïta,Assimi Goïta,"There is no such entity as the ""Confederation of Sahel States"". The Sahel region is a transitional zone between the Sahara Desert and the Sudanian savanna, spanning across several countries in North Africa. It does not have a unified government or leadership.

However, there are regional organizations that cover parts of the Sahel region, such as the Economic Community of West African States (ECOWAS) and the African Union's Regional Coordination Mechanism for the Sahel Region.

If you meant to ask about one of these organizations, please let me know and I'll do my best to provide an answer.",,,
Conference of Committee Chairs of the European Parliament,Gerardo Galeote Quecedo,Gerardo Galeote Quecedo,I'm not aware of the current leader of the Conference of Committee Chairs of the European Parliament.,,,False
Confédération Européenne de Billard,Diane Wild,Diane Wild,"Answer: Not found, Confidence: low.",low,Not found,False
Consultative Committee for Units,Joachim Ullrich,Joachim Ullrich,"I'm not aware of any information about a ""Consultative Committee for Units"" or its current leader. My knowledge may be limited in this area.

Answer: Unknown, Confidence: Low",Low,Unknown,
Council for German Orthography,Josef Lange,Josef Lange,"I'm not familiar with the specific leadership details of the Council for German Orthography. My training data might not be up-to-date on this topic, or it's possible that such information isn't widely documented in available sources.",,,False
Council of Europe,Secretary General of the Council of Europe,Alain Berset,"Answer: Marija Pejčinović Burić, Confidence: medium",medium,Marija Pejčinović Burić,
Delegation of the European Union to Belarus,ambassador of the European Union to Belarus,Dirk Schuebel,"Answer: Dirk Schuebel, Confidence: high.",high,Dirk Schuebel,False
Delegation of the European Union to Chad,ambassador of the European Union to Chad,Bertrand Soret,"Answer: Denisa-Elena Ionete, Confidence: high.",high,Denisa-Elena Ionete,False
Delegation of the European Union to Japan,ambassador of the European Union to Japan,ambassador of the European Union to Japan,"Answer: Not available, Confidence: low.",low,Not available,False
Delegation of the European Union to Malaysia,ambassador of the European Union to Malaysia,ambassador of the European Union to Malaysia,"Answer: Michalis Rokas, Confidence: medium.",medium,Michalis Rokas,False
Delegation of the European Union to Moldova,ambassador of the European Union to Moldova,Dirk Schuebel,I don't have access to a search engine to provide information about the current leader of the Delegation of the European Union to Moldova.,,,False
Delegation of the European Union to Turkey,ambassador of the European Union to Turkey,Christian Berger,"I don't have access to real-time information and updates. However, as of my last update in April 2023, I do not have specific information on who the current leader of the Delegation of the European Union to Turkey is. Given the dynamic nature of diplomatic appointments, this position may change frequently.

Answer: Not Available, Confidence: Low",Low,Not Available,False
Delegation of the European Union to Ukraine,ambassador of the European Union to Ukraine,Hugues Mingarelli,"Answer: Matti Maasikas, Confidence: high.",high,Matti Maasikas,False
Delegation of the European Union to the Holy See,ambassador of the European Union to the Holy See,Jan Tombiński,I couldn't find any information on who the current leader of the Delegation of the European Union to the Holy See is.,,,False
Delegation of the European Union to the United States,ambassador of the European Union to the United States,ambassador of the European Union to the United States,"I don't have access to real-time information and data. However, as of my last update in April 2023, the Ambassador of the European Union to the United States was Stavros Lambrinidis. Please note that this information may not be up-to-date.

Answer: Stavros Lambrinidis, Confidence: medium",medium,Stavros Lambrinidis,False
Delors Commission I,Jacques Delors,Jacques Delors,"Jacques Delors 
Confidence: high",high,,
East Asian Football Federation,Chung Mong-gyu,Chung Mong-gyu,Chung Mong-gyu,,,
Eastern Caribbean Supreme Court,Chief Justice of the Eastern Caribbean Supreme Court,Janice Pereira,"Answer: Dame Janice Pereira, Confidence: high.",high,Dame Janice Pereira,False
Ecclesial Conference of the Amazon,Pedro Ricardo Barreto Jimeno,Pedro Ricardo Barreto Jimeno,I don't have access to a search engine to provide information on the current leader of the Ecclesial Conference of the Amazon.,,,
Economic Community of West African States,Bola Ahmed Tinubu,Bola Ahmed Tinubu,"Answer: Omar Touray, Confidence: Medium",Medium,Omar Touray,
Economic and Financial Committee,Tuomas Saarenheimo,Tuomas Saarenheimo,I don't have access to a search engine to verify the current leader of the Economic and Financial Affairs Council (Ecofin) of the European Union.,,,False
Education International,Mugwena Maluleke,Mugwena Maluleke,"Answer: Susan Hopgood, Confidence: High",High,Susan Hopgood,False
Emergency Committee of Atomic Scientists,Albert Einstein,Albert Einstein,"I don't have access to real-time information and updates. However, as of my knowledge cutoff, I couldn't find any specific information on the current leader of the Emergency Committee of Atomic Scientists (also known as the Bulletin of the Atomic Scientists). 

Answer: Not Found, Confidence: low",low,Not Found,False
Eurogroup Working Group,Thomas Wieser,Thomas Wieser,"Answer: Not specified, Confidence: low.",low,Not specified,False
Europe of Nations and Freedom,Marcel de Graaff,Marcel de Graaff,I don't have access to a search engine to provide information on the current leader.,,,False
European Agency for the Management of Operational Cooperation at the External Borders,Ilkka Laitinen,Ilkka Laitinen,"Answer: Hans Leijtens, Confidence: high.",high,Hans Leijtens,False
European Athletic Association,Dobromir Karamarinov,Dobromir Karamarinov,"Dobromir Karamarinov, Confidence: high",high,,False
European Banking Authority,José Manuel Campa,José Manuel Campa,"I don't have access to real-time information and updates. However, I can suggest some possible sources where you may be able to find the most recent information on the leadership of the European Banking Authority (EBA).

You can check the official EBA website or other reliable news sources for the latest updates on their leadership.

If you need more general information about the EBA or its functions, feel free to ask!",,,False
