embassy,embassyLabel,hostCountry,hostCountryLabel,operatorCountry,operatorCountryLabel,ambassador,ambassadorLabel
http://www.wikidata.org/entity/Q5369797,"Embassy of Montenegro, Tirana",http://www.wikidata.org/entity/Q222,Albania,http://www.wikidata.org/entity/Q236,Montenegro,http://www.wikidata.org/entity/Q18226695,Željko Perović
http://www.wikidata.org/entity/Q5369974,"Embassy of the United States, Tirana",http://www.wikidata.org/entity/Q222,Albania,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q5294719,Donald Lu
http://www.wikidata.org/entity/Q15109295,"Embassy of Germany, Tirana",http://www.wikidata.org/entity/Q222,Albania,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q101516010,Karlfried Bergner
http://www.wikidata.org/entity/Q58212405,"Embassy of Germany, Algiers",http://www.wikidata.org/entity/Q262,Algeria,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q130214505,Georg Felsheim
http://www.wikidata.org/entity/Q21042235,"Embassy of Germany, Luanda",http://www.wikidata.org/entity/Q916,Angola,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q110154331,Stefan Traumann
http://www.wikidata.org/entity/Q58270639,"Embassy of Germany, Buenos Aires",http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q110602037,Dieter Lamlé
http://www.wikidata.org/entity/Q17376115,"Embassy of the United Kingdom, Buenos Aires",http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q26196946,Mark Kent
http://www.wikidata.org/entity/Q5369976,"Embassy of the United States, Yerevan",http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q21932292,"Richard M. Mills, Jr."
http://www.wikidata.org/entity/Q2841724,"embassy of France, Yerevan",http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q73400014,Olivier Decottignies
http://www.wikidata.org/entity/Q28667078,"Embassy of Russia, Yerevan",http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q159,Russia,http://www.wikidata.org/entity/Q56307557,Sergey Kopirkin
http://www.wikidata.org/entity/Q31193882,"Embassy of Germany, Yerevan",http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q129083847,Claudia Busch
http://www.wikidata.org/entity/Q5369695,"Embassy of Germany, Canberra",http://www.wikidata.org/entity/Q408,Australia,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q123300342,Beate Grzeski
http://www.wikidata.org/entity/Q106463586,embassy of Hungary in Australia,http://www.wikidata.org/entity/Q408,Australia,http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q1177081,István Mikola
http://www.wikidata.org/entity/Q4555169,"Embassy of Russia, Vienna",http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q159,Russia,http://www.wikidata.org/entity/Q768958,Stanislav Osadchiy
http://www.wikidata.org/entity/Q5369829,"Embassy of Poland, Vienna",http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q56556590,Jolanta Róża Kozłowska
http://www.wikidata.org/entity/Q5369858,"Embassy of Serbia, Vienna",http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q403,Serbia,http://www.wikidata.org/entity/Q16087590,Nebojša Rodić
http://www.wikidata.org/entity/Q572567,"Embassy of France, Vienna",http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q3106464,Gilles Pécout
http://www.wikidata.org/entity/Q572567,"Embassy of France, Vienna",http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q11984842,Philippe Carré
http://www.wikidata.org/entity/Q572567,"Embassy of France, Vienna",http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q29019464,François Saint-Paul
http://www.wikidata.org/entity/Q572567,"Embassy of France, Vienna",http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q33110005,Matthieu Peyraud
http://www.wikidata.org/entity/Q1202238,"Embassy of Germany, Vienna",http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q120749607,Vito Cecere
http://www.wikidata.org/entity/Q54168997,Embassy of Hungary in Austria,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q14922928,Andor Nagy
http://www.wikidata.org/entity/Q16415875,"Embassy of Germany, Baku",http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q113884276,Ralf Horlemann
http://www.wikidata.org/entity/Q67796350,Embassy of Hungary in Baku,http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q55199209,Viktor Szederkenyi
http://www.wikidata.org/entity/Q58282782,"Embassy of Germany, Manama",http://www.wikidata.org/entity/Q398,Bahrain,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q117398639,Clemens Hach
http://www.wikidata.org/entity/Q15216585,"Embassy of the United States, Manama",http://www.wikidata.org/entity/Q398,Bahrain,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q35710423,Justin Siberell
http://www.wikidata.org/entity/Q24948072,"Embassy of Germany, Bangladesh",http://www.wikidata.org/entity/Q902,Bangladesh,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q55401469,Achim Tröster
http://www.wikidata.org/entity/Q33117413,"Embassy of Hungary, Minsk",http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q20559830,Jolt Çutora
http://www.wikidata.org/entity/Q58294115,"Embassy of Germany, Brussels",http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q73014831,Martin Kotthaus
http://www.wikidata.org/entity/Q63247384,"Embassy of Hungary in Belgium, Brussel",http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q1120412,Tamás Iván Kovács
http://www.wikidata.org/entity/Q58288867,"Embassy of Germany, Cotonou",http://www.wikidata.org/entity/Q962,Benin,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q123168534,Stefan Buchwald
http://www.wikidata.org/entity/Q58488069,"Embassy of Germany, La Paz",http://www.wikidata.org/entity/Q750,Bolivia,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q113950532,José Schulz
http://www.wikidata.org/entity/Q58488501,"Embassy of Germany, Sarajevo",http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q70843391,Thomas Fitschen
http://www.wikidata.org/entity/Q5369968,"Embassy of the United States, Sarajevo",http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q18921578,Maureen Cormack
http://www.wikidata.org/entity/Q58490877,"Embassy of Germany, Gaborone",http://www.wikidata.org/entity/Q963,Botswana,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q130624083,Gabriela Bennemann
http://www.wikidata.org/entity/Q43083447,"Embassy of the United States, Gaborone",http://www.wikidata.org/entity/Q963,Botswana,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q47309514,Earl R. Miller
http://www.wikidata.org/entity/Q5369693,"Embassy of Germany, Brasília",http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q20752036,Bettina Cadenbach
http://www.wikidata.org/entity/Q58491304,"Embassy of Germany, Bandar Seri Begawan",http://www.wikidata.org/entity/Q921,Brunei,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q104672336,Gerda Winkler
http://www.wikidata.org/entity/Q58491509,"Embassy of Germany, Sofia",http://www.wikidata.org/entity/Q219,Bulgaria,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q117824590,Irene Maria Plank
http://www.wikidata.org/entity/Q31194238,"Embassy of Armenia, Sofia",http://www.wikidata.org/entity/Q219,Bulgaria,http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q21212735,Armen Sargsyan
http://www.wikidata.org/entity/Q58492031,"Embassy of Germany, Ouagadougou",http://www.wikidata.org/entity/Q965,Burkina Faso,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13422632,Dietrich Becker
http://www.wikidata.org/entity/Q58492167,"Embassy of Germany, Bujumbura",http://www.wikidata.org/entity/Q967,Burundi,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q123181170,Carsten Hölscher
