bankLabel,governorLabel,answer,eval,confidence,positionLabel,reference
National Bank of Romania,Mugur Isărescu,Mugur Isărescu,True,high,Governor of the National Bank of Romania,([bloomberg.com](https://www.bloomberg.com/news/articles/2024-10-01/longest-serving-central-bank-chief-to-get-new-mandate-in-romania?utm_source=openai))
Bank of Finland,Olli Rehn,Olli Rehn,True,high,Governor of the Bank of Finland,([suomenpankki.fi](https://www.suomenpankki.fi/en/bank-of-finland/board-and-organisation/board/olli-rehn/?utm_source=openai))
European Central Bank,Christine Lagarde,Christine Lagarde is the President of the European Central Bank (ECB).,True,High,President of the European Central Bank,([en.wikipedia.org](https://en.wikipedia.org/wiki/Christine_Lagarde?utm_source=openai))
Bank of England,beginning,Andy Beshear,False,high,Governor of the Bank of England,([governor.ky.gov](https://governor.ky.gov/about/gubernatorial-history?utm_source=openai))
Bank of Greece,Yannis Stournaras,Yannis Stournaras,True,high,Governor of the Bank of Greece,([bis.org](https://www.bis.org/review/r241211h.htm?utm_source=openai))
Bank of France,Christian Noyer,François Villeroy de Galhau,True,High,Governor of the Banque de France,https://en.wikipedia.org/wiki/Christian_Noyer
Central Bank of the Republic of Turkey,Süreyya Serdengeçti,Fatih Karahan,True,High,Governor of the Central Bank of Turkey,([tcmb.gov.tr](https://tcmb.gov.tr/wps/wcm/connect/EN/TCMB%2BEN/Main%2BMenu/About%2Bthe%2BBank/History/Governors?utm_source=openai))
People's Bank of China,Pan Gongsheng,Pan Gongsheng,True,high,Governor of the People's Bank of China,([en.wikipedia.org](https://en.wikipedia.org/wiki/Pan_Gongsheng?utm_source=openai))
State Bank of Vietnam,Cao Sĩ Kiêm,Cao Sĩ Kiêm,False,high,Governor of the State Bank of Vietnam,([infonet.vietnamnet.vn](https://infonet.vietnamnet.vn/ong-cao-si-kiem-lam-chinh-khach-thi-khong-nen-lam-dung-lam-mau-hinh-anh-131281.html?utm_source=openai))
Bank of Japan,Kazuo Ueda,,False,,governor of the Bank of Japan,
Central Bank of The Bahamas,James H. Smith,"James H. Smith, CBE",False,high,Governor of the Central Bank of The Bahamas,([cfal.com](https://www.cfal.com/leadership/james-smith?utm_source=openai))
Danmarks Nationalbank,Christian Kettel Thomsen,Christian Kettel Thomsen,True,high,Governor of the Danish Nationalbank,([nationalbanken.dk](https://www.nationalbanken.dk/en/about-us/board-of-governors-group-management-and-departments/christian-kettel-thomsen?utm_source=openai))
Bank of Italy,Luigi Federico Signorini,Luigi Federico Signorini,False,high,Director General of the Bank of Italy,([bancaditalia.it](https://www.bancaditalia.it/chi-siamo/funzioni-governance/direttorio/luigi-federico-signorini/index.html?utm_source=openai))
Reserve Bank of India,Shaktikanta Das,Shaktikanta Das,False,high,Governor of the Reserve Bank of India,https://www.rbi.org.in/Scripts/BS_SpeakingDetails.aspx?uid=1847
Bank Negara Malaysia,Nor Shamsiah Mohd Yunus,,False,,Governor of Central Bank of Malaysia,
Czech National Bank,Aleš Michl,Aleš Michl,True,high,Governor of the Czech National Bank,https://www.worldgovernors.com/aleš-michl
Central Bank of Syria,Hazem Younes Karfoul,Mohammad Issam Hazimeh,False,high,Governor of Central Bank of Syria,([naharnet.com](https://www.naharnet.com/stories/en/281029-syria-names-new-central-bank-chief?utm_source=openai))
Bank of Estonia,Madis Müller,Madis Müller,True,High,governor of the Bank of Estonia,([en.wikipedia.org](https://en.wikipedia.org/wiki/Madis_M%C3%BCller?utm_source=openai))
Central Bank of Egypt,Sir Frederick Terry Rowlatt,Sir Frederick Rowlatt,False,high,Governor of the Central Bank of Egypt,([trycollect.com](https://www.trycollect.com/en/tags/sir---frederick-rowlatt?utm_source=openai))
Bank of Mauritius,Harvesh Seegolam,Dr. Rama Sithanen,True,high,Governor of the Bank of Mauritius,([newsmoris.com](https://newsmoris.com/2025/01/04/harvesh-seegolam-faces-accountability-for-alleged-public-funds-misappropriation/?utm_source=openai))
Bank of Mozambique,Rogério Zandamela,Filipe Nyusi,False,high,Governor of the Bank of Mozambique,([africa-press.net](https://www.africa-press.net/mozambique/all-news/mozambique-zandamela-reappointed-as-central-bank-governor?utm_source=openai))
Central Bank of Uruguay,Diego Labat,Diego Labat Legarra,False,high,President of the Central Bank of Uruguay,https://en.wikipedia.org/wiki/Diego_Labat
Bank of Thailand,Sethaput Suthiwartnarueput,Sethaput Suthiwartnarueput,True,high,Governor of the Bank of Thailand,https://www.emeap.org/index.php/sethaput-suthiwartnarueput/
