organizationLabel,officeholderLabel,confidence,answer,eval,outdated
African Development Bank,Akinwumi Adesina,High,Akinwumi Adesina,True,False
African Paralympic Committee,Leonel da Rocha Pinto,High,Samson Deen,True,True
Afro-Asian People's Solidarity Organization,Anwar Sadat,high,Dr. Helmi Hadidi,True,True
Aga Khan Development Network,Ismaili imam,high,His Highness Prince Rahim Aga Khan V,True,True
All European Academies,Antonio Loprieno,high,Paweł Rowiński,False,True
Alliance of Passenger Rail New Entrants in Europe,Erich Forster,high,Nick Brooks,True,True
Alliance of Small Island States,Ahmed Sareer,high,Palau,False,True
American Association for the Advancement of Science,Eloise E. Clark,medium,Marina Picciotto,True,True
Andean Community,Guillermo Fernández de Soto,medium,Peru's President (Pro Tempore),True,True
Anti-Bolshevik Bloc of Nations,Yaroslav Stetsko,low,Yaroslav Stetsko,False,True
Arab League,Secretary General of the Arab League,high,Ahmed Aboul Gheit,True,True
Arab Union of Judges,Ahmad al-Ashqar,low,Boulos FAHMY Iskandar,False,True
Asian Athletics Association,Dahlan Jumaan al-Hamad,High,Dahlan Jumaan al-Hamad,True,False
Asian Buddhist Conference for Peace,Gabji Demberel Choijamts,High,His Holiness the Dalai Lama,False,False
Asian Development Bank,Masato Kanda,high,Masato Kanda,True,False
Asian Football Confederation,Salman Bin Ibrahim Al-Khalifa,High,Shaikh Salman bin Ebrahim Al Khalifa,True,False
Asian Hockey Federation,Abdullah of Pahang,High,Fumio Ogura,True,True
Asian Infrastructure Investment Bank,Jin Liqun,medium,Jin Liqun,True,False
Asian Parliamentary Assembly,Mustafa Şentop,medium,Bahrain's representative,False,True
Asian Shooting Confederation,Salman Sabah Al-Salem Al-Homoud Al-Sabah,High,HE Sheikh Salman Al Sabah,True,False
Assembly of European Regions,Albert Castellanos Maduell,Medium,Albert Castellanos Maduell,True,False
Association des bibliothécaires du Québec – Quebec Library Association (ABQLA),human,low,Spyros Caragiannis,False,True
Association of Episcopal Conferences of Central Africa,Marcel Madila Basanguka,high,Archbishop Goetbé Edmond Djitangar,True,True
Badminton Confederation of Africa,Michel Bau,high,Michel Bau,True,False
Badminton Europe,Sven Serré,high,Sven Serré,True,False
Badminton World Federation,Lu Shengrong,high,Khunying Patama Leeswadtrakul,True,True
Barroso Commission,José Manuel Durão Barroso,medium,José Manuel Barroso,False,True
