organizationLabel,positionLabel,officeholderLabel,confidence,answer,eval
African Development Bank,Akinwumi Adesina,Akinwumi Adesina,high,Akinwumi Adesina,True
African Paralympic Committee,President of the African Paralympic Committee,Leonel da Rocha Pinto,high,Samson Deen,True
Afro-Asian People's Solidarity Organization,Anwar Sadat,Anwar Sadat,high,Mohamed Youssef,False
Aga Khan Development Network,Ismaili imam,Ismaili imam,high,Shah Karim al-Husayni (Aga Khan IV),True
All European Academies,Antonio Loprieno,Antonio Loprieno,high,Antonio Loprieno,True
Alliance of Passenger Rail New Entrants in Europe,Erich Forster,Erich Forster,medium,Andreas Bergmann,False
Alliance of Small Island States,Ahmed Sareer,Ahmed Sareer,low,Jamaica,False
American Association for the Advancement of Science,Eloise E. Clark,Eloise E. Clark,high,Dr. Sudip Parikh,False
Andean Community,Secretary-General of the Andean Community,Guillermo Fernández de Soto,high,Gustavo Petro,False
Anti-Bolshevik Bloc of Nations,Yaroslav Stetsko,Yaroslav Stetsko,low,Yaroslav Stetsko,False
Arab League,Secretary General of the Arab League,Secretary General of the Arab League,medium,Ahmed Aboul Gheit,True
Arab Union of Judges,Ahmad al-Ashqar,Ahmad al-Ashqar,Low,Unknown,False
Asian Athletics Association,Dahlan Jumaan al-Hamad,Dahlan Jumaan al-Hamad,medium,Dahlan Al Hamad,True
Asian Buddhist Conference for Peace,Gabji Demberel Choijamts,Gabji Demberel Choijamts,medium,Ven. Dr. Khammai Dhammasami,False
Asian Development Bank,Masato Kanda,Masato Kanda,high,Masatsugu Asakawa,False
Asian Football Confederation,Salman Bin Ibrahim Al-Khalifa,Salman Bin Ibrahim Al-Khalifa,medium,Shaikh Salman bin Ebrahim Al Khalifa,True
Asian Hockey Federation,Abdullah of Pahang,Abdullah of Pahang,high,Dilip Tirkey,False
Asian Infrastructure Investment Bank,Jin Liqun,Jin Liqun,high,Jin Liqun,True
Asian Parliamentary Assembly,Mustafa Şentop,Mustafa Şentop,Medium,Mohammad Reza Aref,False
Asian Shooting Confederation,Salman Sabah Al-Salem Al-Homoud Al-Sabah,Salman Sabah Al-Salem Al-Homoud Al-Sabah,medium,Sheikh Salman bin Mohammed Al-Sabah,True
Assembly of European Regions,Albert Castellanos Maduell,Albert Castellanos Maduell,medium,Magnus Berntsson,False
Association des bibliothécaires du Québec – Quebec Library Association (ABQLA),human,human,Low,Unknown,False
Association of Episcopal Conferences of Central Africa,Marcel Madila Basanguka,Marcel Madila Basanguka,medium,Cardinal Fridolin Ambongo Besungu,False
Badminton Confederation of Africa,Michel Bau,Michel Bau,medium,George Quarcoo,False
Badminton Europe,Sven Serré,Sven Serré,high,Peter Tarpgaard,False
Badminton World Federation,Lu Shengrong,Lu Shengrong,medium,Poul-Erik Høyer Larsen,False
Barroso Commission,José Manuel Durão Barroso,José Manuel Durão Barroso,high,José Manuel Barroso,False
Blue Shield International,Peter Stone,Peter Stone,high,Karl Habsburg,False
Boeotian confederation,Boeotarch,Boeotarch,High,There is no current leader.,True
Bureau of the European Parliament,President of the European Parliament,Roberta Metsola,high,Roberta Metsola,True
CONCACAF,Victor Montagliani,Victor Montagliani,medium,Sonia Bien-Aime,False
