organizationLabel,officeholderLabel,answer,Confidence,eval
African Development Bank,Akinwumi Adesina,Akinwumi Adesina,High,True
African Paralympic Committee,Leonel da Rocha Pinto,Samson Deen,High,True
Afro-Asian People's Solidarity Organization,Anwar Sadat,Dr. Helmi Hadidi,medium,False
Aga Khan Development Network,Ismaili imam,His Highness Prince Rahim Aga Khan V,high,True
All European Academies,Antonio Loprieno,Paweł Rowiński,high,False
Alliance of Passenger Rail New Entrants in Europe,Erich Forster,Elmer van Buuren,high,True
Alliance of Small Island States,Ahmed Sareer,Palau,high,False
American Association for the Advancement of Science,Eloise E. Clark,Marina Picciotto,high,True
Andean Community,Guillermo Fernández de Soto,Peru (Pro Tempore Presidency),medium,False
Anti-Bolshevik Bloc of Nations,Yaroslav Stetsko,N/A,low,False
Arab League,Secretary General of the Arab League,Ahmed Aboul Gheit,high,True
Arab Union of Judges,Ahmad al-Ashqar,Not Found,low,False
Asian Athletics Association,Dahlan Jumaan al-Hamad,Dahlan Jumaan al-Hamad,High,True
Asian Buddhist Conference for Peace,Gabji Demberel Choijamts,The Supreme Head of Mongolian Buddhists,High,False
Asian Development Bank,Masato Kanda,Masato Kanda,high,True
Asian Football Confederation,Salman Bin Ibrahim Al-Khalifa,Shaikh Salman bin Ebrahim Al Khalifa,high,True
Asian Hockey Federation,Abdullah of Pahang,Fumio Ogura,high,True
Asian Infrastructure Investment Bank,Jin Liqun,Jin Liqun,medium,True
Asian Parliamentary Assembly,Mustafa Şentop,Bahrain,high,False
Asian Shooting Confederation,Salman Sabah Al-Salem Al-Homoud Al-Sabah,HE Sheikh Salman Al Sabah,high,True
Assembly of European Regions,Albert Castellanos Maduell,Albert Castellanos Maduell,high,True
Association des bibliothécaires du Québec – Quebec Library Association (ABQLA),human,Melissa Rivosecchi,high,True
Association of Episcopal Conferences of Central Africa,Marcel Madila Basanguka,José Moko,medium,False
Badminton Confederation of Africa,Michel Bau,Michel Bau,high,True
Badminton Europe,Sven Serré,Sven Serré,high,True
Badminton World Federation,Lu Shengrong,Khunying Patama Leeswadtrakul,high,True
Barroso Commission,José Manuel Durão Barroso,Not available in the search results provided as they are outdated (the last date mentioned is from 2014 or no date at all),False
Blue Shield International,Peter Stone,Peter Stone,High,True
Boeotian confederation,Boeotarch,Not available,low,True
Bureau of the European Parliament,Roberta Metsola,Roberta Metsola,True
CONCACAF,Victor Montagliani,Victor Montagliani,high,True
Caribbean Football Union,Randolph Harris,Lyndon Cooper,high,True
Caritas Europa,Erny Gillen,Michael Landau,High,True
Caritas Internationalis,Carl Vath,Archbishop Tarcisius Isao Kikuchi,High,True
Central American Football Union,Pedro Chaluja,Rafael Tinoco,medium,False
Club of Rome,Mamphela Ramphele,Paul Shrivastava,high,True
Collective Security Treaty Organization,Alexander Lukashenko,Imangali Tasmagambetov,high,True
College of Cardinals,Giovanni Battista Re,Giovanni Battista Re,medium,True
Comité Maritime International,Ann Fenech,Ann Fenech,High,True
Commission on Legal Empowerment of the Poor,Hernando de Soto,Not available in the provided search results.,Low,False
Committee on Data for Science and Technology,Mercè Crosas,Mercè Crosas,high,True
Commonwealth of Nations,Charles III,Charles III,high,True
Community of Portuguese Language Countries,Zacarias da Costa,José Ramos-Horta,High,True
Community of the Beatitudes,Anna-Katharina Pollmeyer,Brother Johannes-Maria Poblotzki,high,True
Confederación Nacional del Trabajo,Secretary General of the Confederación Nacional del Trabajo,Not available in the search results provided.,low,False
