organizationLabel,officeholderLabel,confidence,answer,eval
African Development Bank,Akinwumi Adesina,High,Akinwumi Adesina,True
African Paralympic Committee,Leonel da Rocha Pinto,,,False
Afro-Asian People's Solidarity Organization,Anwar Sadat,,,False
Aga Khan Development Network,Ismaili imam,high,His Highness the Aga Khan IV,True
All European Academies,Antonio Loprieno,medium,Antonio Loprieno,True
Alliance of Passenger Rail New Entrants in Europe,Erich Forster,Low,Unknown,False
Alliance of Small Island States,Ahmed Sareer,Low,Not Available,False
American Association for the Advancement of Science,Eloise E. Clark,,,False
Andean Community,Guillermo Fernández de Soto,,,False
Anti-Bolshevik Bloc of Nations,Yaroslav Stetsko,medium,Yaroslav Hrytsak,False
Arab League,Secretary General of the Arab League,High,Ahmed Aboul Gheit,True
Arab Union of Judges,Ahmad al-Ashqar,,,False
Asian Athletics Association,Dahlan Jumaan al-Hamad,High,Dahlan Al-Hamad,True
Asian Buddhist Conference for Peace,Gabji Demberel Choijamts,low,I couldn't find any information on the current leader of the Asian Buddhist Conference for Peace. The organization does not have a publicly disclosed leadership structure or a clear indication of its current status.,False
Asian Development Bank,Masato Kanda,,,False
Asian Football Confederation,Salman Bin Ibrahim Al-Khalifa,high,Salman Bin Ibrahim Al-Khalifa,True
Asian Hockey Federation,Abdullah of Pahang,low,Alain Chu Chee Pong and Tayyab Ikram,False
Asian Infrastructure Investment Bank,Jin Liqun,high,Jin Liqun,True
Asian Parliamentary Assembly,Mustafa Şentop,high,Gennady Makhillo ( Russia),False
Asian Shooting Confederation,Salman Sabah Al-Salem Al-Homoud Al-Sabah,high,Sheikh Salman bin Ibrahim Al Khalifa,False
Assembly of European Regions,Albert Castellanos Maduell,low,Not available,False
Association des bibliothécaires du Québec – Quebec Library Association (ABQLA),human,,,False
Association of Episcopal Conferences of Central Africa,Marcel Madila Basanguka,Low,Not Available,False
Badminton Confederation of Africa,Michel Bau,Low,Not available,False
Badminton Europe,Sven Serré,High,Peter Tarcala,False
Badminton World Federation,Lu Shengrong,high,Poul-Erik Høyer,False
Barroso Commission,José Manuel Durão Barroso,High,José Manuel Barroso,True
Blue Shield International,Peter Stone,low,Unknown,False
Boeotian confederation,Boeotarch,Low,Not available,False
Bureau of the European Parliament,Roberta Metsola,,,False
CONCACAF,Victor Montagliani,High,,False
Caribbean Football Union,Randolph Harris,medium,Randolph Harris,False
Caritas Europa,Erny Gillen,,,False
Caritas Internationalis,Carl Vath,high,Aloysius John,False
Central American Football Union,Pedro Chaluja,high,Rafael Salguero,False
Club of Rome,Mamphela Ramphele,high,Sandrine Dixson-Declève,False
Collective Security Treaty Organization,Alexander Lukashenko,Medium,Nikolai Bordyuzha,False
College of Cardinals,Giovanni Battista Re,low,Giovanni Battista Re,True
Comité Maritime International,Ann Fenech,Low,Not Available,False
Commission on Legal Empowerment of the Poor,Hernando de Soto,medium,Not available as of my knowledge cutoff date (01 March 2023),False
Committee on Data for Science and Technology,Mercè Crosas,low,Not Available,False
Commonwealth of Nations,Charles III,High,King Charles III,True
Community of Portuguese Language Countries,Zacarias da Costa,high,Luiz Inácio Lula da Silva,False
Community of the Beatitudes,Anna-Katharina Pollmeyer,Low,Not Available,False
Confederación Nacional del Trabajo,Secretary General of the Confederación Nacional del Trabajo,,,False
Confederation of African Athletics,Hamad Kalkaba Malboum,high,Kalkaba Malboum,True
Confederation of African Football,Patrice Motsepe,High,Patrice Motsepe,True
Confederation of Independent Football Associations,Per-Anders Blind,high,Per Andersen,True
Confederation of Open Access Repositories,Martha Whitehead,,,False
Confederation of Sahel States,Assimi Goïta,,,False
Conference of Committee Chairs of the European Parliament,Gerardo Galeote Quecedo,,,False
Confédération Européenne de Billard,Diane Wild,low,Not found,False
Consultative Committee for Units,Joachim Ullrich,Low,Unknown,False
Council for German Orthography,Josef Lange,,,False
Council of Europe,Alain Berset,medium,Marija Pejčinović Burić,False
Delegation of the European Union to Belarus,Dirk Schuebel,high,Dirk Schuebel,False
Delegation of the European Union to Chad,Bertrand Soret,high,Denisa-Elena Ionete,False
Delegation of the European Union to Japan,ambassador of the European Union to Japan,low,Not available,False
Delegation of the European Union to Malaysia,ambassador of the European Union to Malaysia,medium,Michalis Rokas,False
Delegation of the European Union to Moldova,Dirk Schuebel,,,False
Delegation of the European Union to Turkey,Christian Berger,Low,Not Available,False
Delegation of the European Union to Ukraine,Hugues Mingarelli,high,Matti Maasikas,False
Delegation of the European Union to the Holy See,Jan Tombiński,,,False
Delegation of the European Union to the United States,ambassador of the European Union to the United States,medium,Stavros Lambrinidis,False
Delors Commission I,Jacques Delors,high,Jacques Delors,True
East Asian Football Federation,Chung Mong-gyu,,,False
Eastern Caribbean Supreme Court,Janice Pereira,high,Dame Janice Pereira,False
Ecclesial Conference of the Amazon,Pedro Ricardo Barreto Jimeno,,,False
Economic Community of West African States,Bola Ahmed Tinubu,Medium,Omar Touray,True
Economic and Financial Committee,Tuomas Saarenheimo,,,False
Education International,Mugwena Maluleke,High,Susan Hopgood,False
Emergency Committee of Atomic Scientists,Albert Einstein,low,Not Found,False
Eurogroup Working Group,Thomas Wieser,low,Not specified,False
Europe of Nations and Freedom,Marcel de Graaff,,,False
European Agency for the Management of Operational Cooperation at the External Borders,Ilkka Laitinen,high,Hans Leijtens,False
European Athletic Association,Dobromir Karamarinov,high,,False
European Banking Authority,José Manuel Campa,,,False
European Banking Federation,Ana Botín,,,False
European Border and Coast Guard Agency,Fabrice Leggeri,high,Hans Leijtens,True
European Central Bank,Christine Lagarde,High,Christine Lagarde,True
European Chess Union,Zurab Azmaiparashvili,Low,"The President of the European Chess Union (ECU) is not publicly disclosed on their official website as of my last update in 2023. However, the ECU's leadership often includes a president and various board members who are responsible for governing chess activities across Europe.",False
European Coal and Steel Community,Jean Monnet,,,False
European Commission,Ursula von der Leyen,High,Ursula von der Leyen,True
European Commission for the Efficiency of Justice,Ramin Qurbanov,medium,Stéphane Leyenberger,False
European Council of Skeptical Organisations,Amardeo Sarma,,,False
European Court of Auditors,Tony Murphy,high,Klaus-Heiner Lehne,False
European Court of Justice,Koen Lenaerts,,,False
European Data Protection Board,Anu Talus,medium,Andrea Jelinek,False
European Defence Agency,Kaja Kallas,High,Josep Borrell,False
European Democrats,James Scott-Hopkins,,,False
European Digital Rights,Anna Fielder,,,False
European Economic and Social Committee,Oliver Röpke,High,Christa Schweng,False
European External Action Service,Kaja Kallas,High,Josep Borrell,False
European Federation of Pharmaceutical Industries and Associations,Jean-Christophe Tellier,Low,Nathalie Moll,False
European Handball Federation,Michael Wiederer,High,Michael Wiederer,True
European Insurance and Occupational Pensions Authority,Gabriel Bernardino,high,Petra Hielkema,True
European Karate Federation,Antonio Espinós,,,False
European Parliament,Roberta Metsola,Medium,David Sassoli (Note: As of my last update in 2021),False
European Parliament Committee on Agriculture and Rural Development,Czesław Siekierski,high,Norbert Lins,False
European Parliament Committee on Budgetary Control,Ingeborg Gräßle,,,False
European Parliament Committee on Budgets,Johan Van Overtveldt,high,Johan Van Overtveldt,True
"European Parliament Committee on Civil Liberties, Justice and Home Affairs",Claude Moraes,high,Juan Fernando López Aguilar,False
European Parliament Committee on Constitutional Affairs,Salvatore De Meo,,,False
European Parliament Committee on Culture and Education,Silvia Costa,low,,False
European Parliament Committee on Development,Linda McAvan,,,False
